Date,AAPL,AMD,APH,BB,CSCO,DDD,ERIC,INFY,INTC,LRCX,MSFT,MSTR,MU,MVIS,NOK,NVDA,ORCL,RIME,STM,TSM,WOLF
2000-01-03,0.8430765867233276,15.5,0.9199593663215637,8.604166984558105,35.81045150756836,2.75,51.61848068237305,3.693842649459839,24.71065330505371,1.6624116897583008,35.86408233642578,104.25,37.16740036010742,238.0,23.02693748474121,0.08943965286016464,23.85065460205078,40.0,31.23225212097168,9.035343170166016,41.96778106689453
2000-01-04,0.7719964981079102,14.625,0.8883247375488281,8.53125,33.80142593383789,2.625,47.7317008972168,3.7226133346557617,23.556781768798828,1.5902938842773438,34.65256881713867,98.0,35.729652404785156,216.0,21.302997589111328,0.08705155551433563,21.74321746826172,40.0,29.28258514404297,9.094941139221191,38.28036880493164
2000-01-05,0.7832935452461243,15.0,0.8686610460281372,8.270833015441895,33.69784927368164,2.7708330154418945,45.69349670410156,3.692591905593872,23.75206184387207,1.567179560661316,35.0179557800293,104.25,35.60728454589844,218.5,20.93358612060547,0.08418568223714828,20.594860076904297,40.0,27.64739227294922,9.154541969299316,37.43663787841797
2000-01-06,0.7155085802078247,16.0,0.8447210788726807,7.875,33.13864517211914,2.75,42.84950256347656,3.3023173809051514,22.367401123046875,1.556084156036377,33.84492492675781,100.125,36.21910095214844,218.5,18.840229034423828,0.07869232445955276,19.38339614868164,40.0,25.4210147857666,8.773100852966309,33.342979431152344
2000-01-07,0.7494016289710999,16.25,0.8532705903053284,8.104166984558105,35.08554458618164,2.9166669845581055,46.21489715576172,3.5324790477752686,23.290508270263672,1.579198956489563,34.28721618652344,105.1875,34.50603103637695,233.5,21.056726455688477,0.08000652492046356,20.872480392456055,40.0,26.389554977416992,9.10686206817627,37.0303955078125
2000-01-10,0.7362208366394043,17.5,0.8934552073478699,9.34375,36.39037322998047,2.7916669845581055,47.5894775390625,3.582515001296997,24.35561180114746,1.6605631113052368,34.53720474243164,125.625,36.40264129638672,235.0,22.034137725830078,0.08263306319713593,23.371122360229492,40.0,28.90523338317871,9.4763822555542,41.374046325683594
2000-01-11,0.6985625624656677,17.25,0.9148295521736145,9.4375,35.292659759521484,2.6458330154418945,45.74089431762695,3.3723666667938232,25.47399139404297,1.6402219533920288,33.65261459350586,119.25,35.423744201660156,222.0,20.93358612060547,0.07928933203220367,22.68967628479004,40.625,28.125385284423828,9.34526252746582,39.780330657958984
2000-01-12,0.6566678285598755,18.125,1.041366696357727,8.8125,34.402042388916016,2.65625,46.973297119140625,3.3123250007629395,25.917795181274414,1.6864510774612427,32.55650329589844,115.5,36.21910095214844,210.5,21.010543823242188,0.07725981622934341,21.3267765045166,43.125,28.77945899963379,9.500222206115723,41.8115348815918
2000-01-13,0.7286887764930725,18.875,1.0276873111724854,8.364583015441895,35.1890983581543,2.6458330154418945,49.627689361572266,3.1822328567504883,25.86453628540039,1.6827532052993774,33.17185974121094,113.5,38.11570358276367,211.0,21.918699264526367,0.08048339188098907,21.213197708129883,43.125,29.471275329589844,9.690943717956543,42.59276580810547
2000-01-14,0.7564619183540344,20.1875,1.0490609407424927,8.229166984558105,35.644752502441406,2.5,49.2958869934082,2.9833436012268066,29.27288818359375,1.9194473028182983,34.53720474243164,113.96875,35.85200881958008,220.0,22.657529830932617,0.08394629508256912,21.56655502319336,43.125,30.968124389648438,10.52534008026123,43.12400436401367
2000-01-18,0.782822847366333,19.5,1.0772759914398193,9.208333015441895,37.11528778076172,2.5,49.34328842163086,3.0846636295318604,29.00661277770996,1.9185235500335693,35.4794921875,120.6875,36.00496292114258,230.0,22.026439666748047,0.08752936124801636,22.462522506713867,40.0,31.21965980529785,10.263099670410156,45.34270477294922
2000-01-19,0.8025937080383301,19.59375,1.0670162439346313,12.020833015441895,37.218841552734375,2.6770830154418945,50.575687408447266,3.0396337509155273,28.420806884765625,2.0174546241760254,32.92188262939453,132.5,35.30137634277344,225.5,22.16497230529785,0.08669298887252808,23.068254470825195,43.75,31.156784057617188,10.191584587097168,47.31140899658203
2000-01-20,0.8548448085784912,19.5,1.0610309839248657,11.583333015441895,37.23954391479492,2.7395830154418945,50.62308883666992,2.9595773220062256,27.160419464111328,2.116384983062744,32.614192962646484,143.9140625,34.13895034790039,230.0,22.134185791015625,0.08645454049110413,23.926368713378906,42.5,33.74795150756836,10.036622047424316,49.62385559082031
2000-01-21,0.8383694887161255,18.9375,1.0199915170669556,11.59375,38.19230270385742,2.7395830154418945,50.62308883666992,3.037130832672119,27.817232131958008,2.0553622245788574,31.921916961669922,144.5625,32.854148864746094,232.5,22.780662536621094,0.08549891412258148,24.103044509887695,43.75,33.7102165222168,10.418060302734375,51.37381362915039
2000-01-24,0.8002403974533081,17.25,1.0122970342636108,11.958333015441895,36.14185333251953,3.2916669845581055,51.3814811706543,3.1822328567504883,28.065759658813477,1.9897173643112183,31.1527042388916,141.5,34.0165901184082,238.0,22.16497230529785,0.0816783532500267,21.88203239440918,48.75,33.35801315307617,11.383575439453125,45.68644714355469
2000-01-25,0.8454300165176392,20.0,0.9840818643569946,12.3125,37.15670394897461,3.4166669845581055,52.23467254638672,3.1321985721588135,28.846843719482422,2.0396440029144287,31.63346290588379,144.5,32.24234390258789,237.0,22.534387588500977,0.080961212515831,22.79062271118164,56.25,34.40202713012695,12.492136001586914,52.12379837036133
2000-01-26,0.8298958539962769,18.5,0.9986178278923035,11.9375,35.52048873901367,3.3958330154418945,52.09247589111328,3.2422759532928467,27.408950805664062,1.9083532094955444,30.575815200805664,147.5,31.110492706298828,254.0,22.534387588500977,0.07761752605438232,22.235374450683594,65.0,32.60330581665039,12.063014030456543,52.4987907409668
2000-01-27,0.8284839391708374,18.46875,0.9840818643569946,11.354166984558105,35.334068298339844,3.2083330154418945,49.7698860168457,3.488699436187744,27.870500564575195,1.9157499074935913,30.383501052856445,149.5625,31.691715240478516,277.5,21.980262756347656,0.07355757802724838,20.92294692993164,72.5,33.207069396972656,11.228620529174805,53.061275482177734
2000-01-28,0.76540607213974,17.625,0.9379140138626099,10.583333015441895,34.422760009765625,3.3333330154418945,53.13528060913086,3.3823747634887695,26.69886589050293,1.8325371742248535,30.229673385620117,155.0,29.122116088867188,252.0,22.180362701416016,0.07140880823135376,19.131004333496094,75.0,32.98064041137695,10.3584566116333,50.24884033203125
2000-01-31,0.7814106941223145,18.0,0.9285084009170532,10.958333015441895,36.28682327270508,3.4791669845581055,56.54806900024414,3.251032829284668,28.10125160217285,1.8473296165466309,30.114280700683594,138.875,30.437501907348633,229.5,22.780662536621094,0.07081180810928345,20.172103881835938,72.5,33.88630294799805,9.893580436706543,47.0614128112793
2000-02-01,0.7550498247146606,18.28125,0.9225243926048279,11.666666984558105,39.04146957397461,3.3125,60.624473571777344,3.212254762649536,28.811351776123047,1.943487524986267,31.67192840576172,132.75,31.07990074157715,252.0,22.719097137451172,0.07248271256685257,21.806318283081055,72.5,35.269935607910156,11.085578918457031,52.56128692626953
2000-02-02,0.7442228198051453,18.03125,0.9421888589859009,14.020833015441895,37.73663330078125,3.3020830154418945,61.00366973876953,3.3573572635650635,28.420806884765625,2.0303986072540283,31.018085479736328,145.0,32.24234390258789,251.0,22.903806686401367,0.07451315969228745,21.932510375976562,66.25,35.534080505371094,11.049821853637695,59.99861526489258
2000-02-03,0.77811598777771,19.5,0.9464638233184814,15.229166984558105,39.04146957397461,3.4895830154418945,64.79564666748047,3.5024588108062744,29.601303100585938,2.073854684829712,31.883460998535156,149.0,33.282413482666016,250.0,23.888916015625,0.07570721954107285,22.891576766967773,68.75,38.86737060546875,13.08813190460205,69.49839782714844
2000-02-04,0.813420832157135,19.28125,0.9601437449455261,15.541666984558105,40.13917541503906,3.375,65.22224426269531,3.8026697635650635,29.761110305786133,2.0276246070861816,32.78728485107422,141.96875,32.97650909423828,255.0,23.642637252807617,0.07749827206134796,23.34587860107422,71.25,41.52141571044922,12.766294479370117,71.65459442138672
2000-02-07,0.8590810298919678,20.65625,0.944753885269165,17.145832061767578,41.485443115234375,3.3333330154418945,65.03265380859375,4.101003170013428,30.666749954223633,2.0562872886657715,32.806488037109375,141.125,36.21910095214844,273.5,23.719600677490234,0.07272210717201233,24.204004287719727,71.875,41.23210525512695,12.69477653503418,75.34201049804688
2000-02-08,0.8652011752128601,20.6875,0.9541589617729187,20.75,41.692543029785156,3.3333330154418945,67.49744415283203,4.102880001068115,30.91533851623535,2.0544381141662598,33.82570266723633,158.4375,37.22858810424805,284.0,25.366579055786133,0.07618501037359238,24.052566528320312,75.0,43.67234420776367,12.206055641174316,71.40460205078125
2000-02-09,0.8482540845870972,21.03125,0.9259442687034607,18.666667938232422,42.68672180175781,3.1666669845581055,67.87664031982422,4.463131904602051,29.72559928894043,2.0239272117614746,31.99883460998535,157.3125,35.85200881958008,273.0,24.797060012817383,0.07809527218341827,24.204004287719727,71.25,42.10002136230469,11.633898735046387,71.49835205078125
2000-02-10,0.8548448085784912,21.25,0.9122645258903503,19.166667938232422,45.04784393310547,3.3333330154418945,68.87203216552734,5.288712978363037,30.577945709228516,2.1293296813964844,32.614192962646484,164.6875,35.423744201660156,274.0,24.75088882446289,0.09409661591053009,25.163076400756836,70.0,43.29498291015625,12.337176322937012,80.2481460571289
2000-02-11,0.8190692067146301,22.75,0.9062797427177429,17.666667938232422,43.39091491699219,3.25,68.39804077148438,6.705330848693848,30.08075523376465,2.073854684829712,30.74888801574707,167.875,34.811946868896484,304.0,24.25832748413086,0.09553000330924988,24.103044509887695,70.0,41.45851135253906,11.72925853729248,80.15440368652344
2000-02-14,0.8722615838050842,21.625,1.1208792924880981,19.458332061767578,43.24592971801758,3.1666669845581055,65.60145568847656,5.433813571929932,31.217212677001953,2.1358017921447754,30.652729034423828,169.875,33.16005325317383,378.5,23.935091018676758,0.11081413179636002,25.112592697143555,66.25,41.86103820800781,11.824618339538574,90.8729019165039
2000-02-15,0.8962687253952026,21.75,1.0276873111724854,18.6875,42.4174690246582,3.2916669845581055,65.50666809082031,4.943467617034912,31.820968627929688,2.1154613494873047,30.325824737548828,171.75,33.77186965942383,368.0,23.51949691772461,0.1065157800912857,24.78449058532715,66.25,41.94908905029297,11.800776481628418,89.8729248046875
2000-02-16,0.8595517873764038,21.875,1.0670162439346313,17.666667938232422,42.143043518066406,3.40625,65.98065185546875,5.804072856903076,30.453649520874023,2.1025166511535645,30.03736686706543,174.75,32.39529037475586,429.0,23.242435455322266,0.11141116172075272,24.734024047851562,67.5,38.84220886230469,11.836536407470703,95.49779510498047
2000-02-17,0.8652011752128601,21.5,1.037091612815857,18.770832061767578,43.24592971801758,3.1666669845581055,66.54945373535156,5.966687202453613,31.252717971801758,2.159841775894165,30.652729034423828,172.5,31.936437606811523,489.0,23.85813331604004,0.11535191535949707,24.885454177856445,68.75,37.35795593261719,11.943818092346191,95.06031036376953
